Latitude,Longitude,Density Class,x,y
19.1944,-96.1236,2,-10700430.2052163,2177836.78879578
28.0592,-96.8551,2,-10781860.4127316,3256439.60753845
27.4769,-97.2741,2,-10828503.279374,3183181.49706943
27.5333,-97.2455,2,-10825319.5419373,3190260.00208406
29.6555,-95.0074,2,-10576175.3895929,3459343.99851379
16.61,-61.76,0,-6875091.75139257,1875473.57236807
13.98,-61.7,0,-6868412.58194497,1571922.10027002
13.92,-61.39,0,-6833903.53979906,1565039.95164656
11.95,-77.68,1,-8647298.04482149,1340018.61365048
11.79,-62.27,0,-6931864.69169714,1321818.30840774
16.63,-63.5,1,-7068787.66537287,1877797.02975992
29.306,-94.7669,2,-10549403.0520571,3414650.92744628
21.5261,-86.8016,0,-9662709.91204141,2454722.0932357
29.2552,-94.8458,2,-10558186.1598807,3408167.54748041
29.2559,-94.8449,2,-10558085.9723389,3408256.86350097
29.2659,-94.8263,2,-10556015.4298102,3409532.87340107
29.2851,-94.7941,4,-10552430.9422066,3411983.16232689
29.276,-94.8086,2,-10554045.0748232,3410821.77008727
29.2686,-94.8224,3,-10555581.2837961,3409877.41746988
28.202,-96.6639,3,-10760576.1260919,3274465.32137418
27.5487,-97.2375,2,-10824428.9860109,3192193.41640162
27.5799,-97.2211,3,-10822603.3463619,3196111.29481462
28.7702,-95.6144,3,-10643746.3205044,3346430.03039875
29.5586,-95.0167,3,-10577210.6608572,3446937.23851994
29.5322,-95.0092,3,-10576375.7646763,3443559.13273294
19.4927,-96.3267,0,-10723039.1937964,2213030.122404
19.1041,-96.0981,2,-10697591.5582011,2167195.84529713
26.6895,-97.3191,2,-10833512.6564597,3084732.14796085
28.6916,-96.2433,2,-10713755.1482643,3336451.87746462
26.1068,-97.1633,2,-10816169.0797941,3012314.60492906
28.067,-96.8465,2,-10780903.0651108,3257423.58587384
27.7534,-97.3762,2,-10839868.999384,3217918.59657319
29.5927,-94.9913,3,-10574383.1457911,3451301.9319864
29.7614,-95.0798,3,-10584234.9207263,3472916.76043311
31.2568,-87.9884,1,-9794823.88371487,3666144.6118644
30.319,-89.3221,2,-9943290.68858586,3544620.57693529
30.3065,-89.3274,3,-9943880.68188706,3543008.71474713
30.3059,-89.328,2,-9943947.47358154,3542931.35053263
29.6521,-95.0095,2,-10576409.1605235,3458908.47160911
29.6554,-95.0076,3,-10576197.653491,3459331.18868892
15.02,-64.08,0,-7133352.97003297,1691505.17579829
19.68,-79.97,0,-8902219.67873808,2235160.81535572
18.72,-77.45,1,-8621694.56193904,2121998.02580915
17.68,-76.33,0,-8497016.73225057,2000126.85787888
11.78,-62.95,0,-7007561.94543656,1320681.14306743
29.4818,-94.6047,0,-10531347.0306504,3437112.46898639
29.3616,-94.7779,2,-10550627.5664558,3421750.60979396
29.2577,-94.8409,2,-10557640.6943758,3408486.53607496
29.2899,-94.8703,0,-10560913.4874051,3412595.80650056
29.2808,-94.8012,3,-10553221.3105913,3411434.35969742
29.2782,-94.8047,2,-10553610.9288091,3411102.53675348
29.3042,-94.7684,2,-10549570.0312933,3414421.14628093
27.6326,-97.1934,2,-10819519.7964669,3202731.52545768
27.205,-97.3643,2,-10838544.2974435,3149107.21920626
26.9157,-97.3717,0,-10839368.0616754,3112943.52016998
28.9531,-95.2814,3,-10606676.9300702,3369678.06899332
29.1816,-94.9718,2,-10572212.4157206,3398780.01240303
29.1826,-94.9706,2,-10572078.8323317,3398907.51526483
30.3075,-89.3268,2,-9943813.89019258,3543137.65615696
29.9115,-89.9118,2,-10008935.7923067,3492179.05855494
29.6428,-89.9386,3,-10011919.1546599,3457717.25258184
12.32,-61.88,0,-6888450.09028776,1382148.29082906
18.6,-64.94,1,-7229087.73211518,2107898.52797822
18.53,-64.4,0,-7168975.20708682,2099678.41354487
16.18,-86.1,2,-9584608.15730085,1825577.20383179
10.88,-63.73,2,-7094391.14825532,1218501.19839664
13.2,-64.43,1,-7172314.79181061,1482591.06042778
17.41,-63.33,0,-7049863.35193801,1968604.14039774
17.35,-72.5,0,-8070663.08251233,1961605.44262598
18.47,-75.09,2,-8358980.56366691,2092635.28034403
16.41,-74.33,1,-8274377.75066402,1852252.24925681
17.27,-76.75,2,-8543770.91838374,1952277.40526967
29.2896,-94.7879,3,-10551740.7613637,3412557.51539629
29.2699,-94.8194,3,-10555247.3253237,3410043.31230395
18.39,-81.18,0,-9036916.26259794,2083248.26593607
27.6528,-82.6757,2,-9203416.82497744,3205269.91601439
24.78,-83.3,0,-9272913.58307968,2848746.67767041
29.2324,-94.8866,2,-10562727.995105,3405258.73115216
29.2125,-94.9199,2,-10566434.9341484,3402720.42524166
29.1814,-94.9719,3,-10572223.5476697,3398754.5119798
29.1824,-94.9705,2,-10572067.7003826,3398882.01459305
29.3,-94.9047,0,-10564742.8778884,3413885.00598424
29.251,-94.8528,2,-10558965.3963162,3407631.6641921
27.9565,-96.9612,2,-10793671.4107048,3243490.54102042
27.8328,-97.0481,2,-10803345.0744547,3227910.00245332
27.5447,-97.2397,3,-10824673.8888907,3191691.20481031
27.4158,-97.301,3,-10831497.7736763,3175517.20445678
27.2763,-97.3481,3,-10836740.9216927,3158034.39639651
26.7748,-97.3434,1,-10836217.7200859,3095364.04870955
19.0632,-96.0578,2,-10693105.3827221,2162378.10588073
19.1053,-96.099,2,-10697691.7457428,2167337.21503925
20.974583,-97.3069,2,-10832154.558672,2388848.14018321
26.1458,-97.1694,2,-10816848.1286879,3017150.13262757
28.0461,-96.8702,2,-10783541.3370426,3254787.18918047
28.03,-96.8874,3,-10785456.0322842,3252756.63006413
30.3064,-89.3276,2,-9943902.94578522,3542995.8206785
30.3063,-89.3276,2,-9943902.94578522,3542982.92662302
29.8291,-84.6912,0,-9427781.25867129,3481601.10301465
16.63,-63.63,1,-7083259.19917599,1877797.02975992
16.05,-66.98,0,-7456179.49333346,1810513.77174527
14.23,-61.18,0,-6810526.44673247,1600617.13143909
18.47,-76.03,2,-8463620.88501259,2092635.28034403
16.81,-74.92,2,-8340056.25023205,1898719.08791074
15.85,-75.72,0,-8429111.84286667,1787358.42277544
16.68,-83.35,0,-9278479.55761935,1883606.73384189
17.2911,-62.7294,2,-6983004.86576757,1954737.28117426
29.2667,-94.825,2,-10555870.7144722,3409634.95958397
29.3327,-94.7335,2,-10545684.9810646,3418059.82409746
21.5317,-87.3683,2,-9725794.66747396,2455392.2365503
21.29148,-89.634561,2,-9978073.68799862,2426668.59417446
21.29148,-89.634561,2,-9978073.68799862,2426668.59417446
27.4383,-97.2915,2,-10830440.2385138,3178339.0770946
29.2275,-94.8949,2,-10563651.9468786,3404633.67538403
29.2273,-94.895,2,-10563663.0788277,3404608.16353903
29.5326,-95.0094,2,-10576398.0285744,3443610.30957282
29.2638,-94.8304,3,-10556471.8397224,3409264.9009713
29.2657,-94.8253,2,-10555904.1103194,3409507.35198015
27.7571,-97.1126,3,-10810525.1816109,3218384.02903532
27.7047,-97.1495,2,-10814632.8708211,3211793.97192457
27.6069,-97.2071,2,-10821044.8734908,3199502.66604639
27.5775,-97.2225,3,-10822759.193649,3195809.88000523
28.0456,-96.8703,0,-10783552.4689916,3254724.12376581
30.3064,-89.3277,1,-9943914.0777343,3542995.8206785
29.6763,-94.9826,4,-10573414.6662212,3462008.71886914
29.6554,-95.0076,2,-10576197.653491,3459331.18868892
30.3772,-87.8394,0,-9778237.27958667,3552128.11731052
12.3,-68.83,1,-7662120.55130102,1379869.50809117
14.35,-70.1,1,-7803496.30460847,1614401.99288775
17.81,-72.14,2,-8030588.06582675,2015321.31102937
10.52,-64.7,0,-7202371.05432479,1177716.98771404
12.47,-62.47,0,-6954128.5898558,1399244.72011135
29.3175,-94.7479,0,-10547287.981732,3416119.06943771
28.9385,-95.2952,2,-10608213.1390432,3367820.78918279
29.5527,-95.0216,2,-10577756.1263621,3446182.20649667
29.3339,-94.7825,0,-10551139.6361134,3418213.0538905
29.283,-94.7977,0,-10552831.6923735,3411715.13955251
29.2821,-94.7977,3,-10552831.6923735,3411600.27433562
29.2766,-94.8078,3,-10553956.0192305,3410898.342215
28.0337,-96.8836,3,-10785033.0182192,3253223.25340539
27.9561,-96.962,3,-10793760.4662974,3243440.13060064
27.8511,-97.0419,3,-10802654.8936118,3230213.84347645
27.8017,-97.0766,3,-10806517.6799423,3223995.62251497
27.8221,-97.0585,3,-10804502.7971589,3226563.12786146
26.917,-97.3714,2,-10839334.6658282,3113105.81743241
30.3063,-89.3277,2,-9943914.0777343,3542982.92662302
29.863,-89.9129,4,-10009058.2437465,3485951.89834969
13.17,-59.82,0,-6659131.93925362,1479161.05612325
18.67,-64.98,1,-7233540.51174691,2116122.02287148
18.27,-76.27,0,-8490337.56280297,2069175.90575614
16.35,-79.0,2,-8794239.77266861,1845290.52007205
17.1,-85.95,1,-9567910.23368186,1932468.74049523
10.47,-64.71,1,-7203484.24923273,1172056.31449003
11.63,-63.42,0,-7059882.1061094,1303628.6087003
17.79,-64.39,0,-7167862.01217888,2012982.98406828
26.1631,-81.8112,0,-9107181.12518666,3019295.64033232
26.4528,-81.9563,0,-9123333.58330076,3055271.10916047
18.96,-78.46,2,-8734127.24764024,2150227.12881666
29.2562,-94.8441,2,-10557996.9167463,3408295.14198261
29.2713,-94.8173,0,-10555013.5543931,3410221.97063847
29.2675,-94.8231,2,-10555659.2074397,3409737.04656567
29.3099,-94.7604,1,-10548679.4753669,3415148.80053907
29.4375,-94.659,2,-10537391.6790005,3431448.70326105
28.0898,-82.782,0,-9215250.08684877,3260300.23989581
27.4763,-97.274,3,-10828492.1474249,3183106.21331817
27.6172,-97.2006,3,-10820321.2968007,3200796.63155233
27.8125,-97.0672,3,-10805471.2767288,3225354.82998169
27.3468,-97.327,2,-10834392.0804369,3166867.04263841
27.1693,-97.3697,3,-10839145.4226938,3144639.51641848
29.2165,-94.9125,0,-10565611.1699166,3403230.59788722
20.480567,-97.006983,0,-10798767.9509517,2330048.42991341
28.6638,-96.5805,0,-10751292.0805598,3332924.50316384
27.9742,-96.945,3,-10791868.0349539,3245721.38914995
27.6264,-97.2907,2,-10830351.1829211,3201952.50946609
30.306,-89.328,1,-9943947.47358154,3542944.24453549
18.0,-63.0,1,-7013127.91997623,2037548.54475061
12.74,-64.5,0,-7180107.15616614,1430043.32988324
15.87,-63.03,0,-7016467.50470003,1789672.92011429
15.51,-72.26,1,-8043946.40472194,1748046.79438789
19.03,-80.42,1,-8952313.44959506,2158468.2475486
17.98,-79.2,0,-8816503.67082727,2035207.71265943
16.48,-76.0,0,-8460281.30028879,1860376.98130312
15.25,-75.83,2,-8441356.98685393,1718028.69113959
16.76,-78.27,1,-8712976.54438952,1892905.42273097
17.03,-81.71,0,-9095915.59271838,1924317.49629682
27.7899,-82.7895,2,-9216084.98302972,3222510.71692751
28.0006,-82.8287,1,-9220448.70706882,3249049.43613438
29.1825,-94.9705,2,-10572067.7003826,3398894.76492273
29.3743,-94.836,3,-10557095.2288709,3423372.84336545
29.265,-94.8282,1,-10556226.9368427,3409418.02740009
29.2776,-94.8058,2,-10553733.3802489,3411025.9634269
29.2693,-94.8204,1,-10555358.6448145,3409966.74519531
29.3185,-94.7472,2,-10547210.0580884,3416246.74177827
27.9562,-96.9615,0,-10793704.806552,3243452.73318807
27.9339,-96.9814,2,-10795920.0644188,3240642.6450396
27.6161,-97.2008,4,-10820343.5606988,3200658.43525789
27.1345,-97.3746,0,-10839690.8881987,3140285.81978706
29.2302,-94.89,2,-10563106.4813737,3404978.09016842
29.196,-94.9476,2,-10569518.4840434,3400616.17354571
26.1106,-97.1639,3,-10816235.8714885,3012785.68794555
28.0403,-96.8766,3,-10784253.7817836,3254055.64839405
27.9926,-96.927,2,-10789864.2841196,3248040.85098383
27.9928,-96.9264,2,-10789797.4924251,3248066.06470021
30.2831,-89.3675,3,-9948344.59346787,3539991.86113493
29.6496,-89.9588,3,-10014167.8083739,3458588.24062449
13.73,-59.93,0,-6671377.08324088,1543258.22320185
11.47,-66.6,1,-7413878.08683202,1285449.36049233
15.68,-62.83,1,-6994203.60654138,1767694.42304182
15.53,-69.95,0,-7786798.38098948,1750357.43691962
17.91,-63.18,2,-7033165.42831902,2027016.88623445
17.46,-77.06,2,-8578279.96052966,1974438.14399406
16.83,-83.6,0,-9306309.43031767,1901044.98290483
27.5877,-97.2171,2,-10822158.0683988,3197090.93849577
29.2661,-94.8258,0,-10555959.7700648,3409558.39487191
29.2883,-94.789,2,-10551863.2128036,3412391.58857736
29.3001,-94.7751,2,-10550315.8718816,3413897.77097308
29.3314,-94.7317,2,-10545484.6059812,3417893.82719002
29.3276,-94.7336,2,-10545696.1130137,3417408.61759422
19.023,-95.9665,0,-10682941.9132127,2157643.97962063
18.8644,-95.905,2,-10676095.7645289,2138977.69885832
28.0608,-96.8537,2,-10781704.5654445,3256641.44342644
27.8517,-97.0421,3,-10802677.1575099,3230289.38582903
27.5464,-97.2386,2,-10824551.4374508,3191904.64250207
27.5981,-97.2115,2,-10821534.6792503,3198397.23847794
29.5964,-94.9867,3,-10573871.0761334,3451775.60911632
30.3743,-87.8367,1,-9777936.71696153,3551753.92450514
29.7563,-90.559,2,-10080981.7667481,3472262.78633706
14.54,-60.61,0,-6747074.33698031,1636243.16010059
18.48,-75.82,0,-8440243.791946,2093808.96457369
10.74,-65.74,0,-7318143.3247498,1202634.91082039
16.68,-71.35,0,-7942645.66810007,1883606.73384189
18.75,-75.43,1,-8396829.19053662,2125524.46141641
29.4766,-89.6895,2,-9984189.4695033,3436447.51955892
21.526733,-87.37755,0,-9726824.3727638,2454797.84206871
24.6,-83.67,0,-9314101.7946732,2826693.03802191
27.9595,-82.8314,0,-9220749.26969396,3243868.62512274
27.5675,-97.2274,2,-10823304.6591539,3194554.05593539
27.6434,-97.187,3,-10818807.3517259,3204088.62645774
27.8117,-97.0678,2,-10805538.0684233,3225254.14331294
